filename	collection	language	century	notBeforeYear	notAfterYear
MS_Veliyeddin_Efendi_2509.2.xml	arabic commentaries on the hippocratic aphorisms project	ar	17	1591	1689
MS_2508_Veliyeddin_Efendi.xml	arabic commentaries on the hippocratic aphorisms project	ar	11	1067	1068
MS_Or_43.xml	arabic commentaries on the hippocratic aphorisms project	ar	11	1100	1100
MS_Veliyeddin_Efendi_2508.xml	arabic commentaries on the hippocratic aphorisms project	ar	11	1067	1068
MS_Petermann_II_233.xml	arabic commentaries on the hippocratic aphorisms project	ar	17	1688	1688
MS_2837_fonds_arabe.xml	arabic commentaries on the hippocratic aphorisms project	ar	13	1227	1227
MS_574.2_Hekimoğlu_ʿAlī_Paşa.xml	arabic commentaries on the hippocratic aphorisms project	ar	13	1270	1271
MS_9452.xml	arabic commentaries on the hippocratic aphorisms project	ar	13	1291	1292
MS_Arabe_2835.xml	arabic commentaries on the hippocratic aphorisms project	ar	13	1200	1299
MS_arabe_2838.xml	arabic commentaries on the hippocratic aphorisms project	ar	13	1200	1299
MS_Arabe_2841.xml	arabic commentaries on the hippocratic aphorisms project	ar	13	1200	1299
MS_Arabe_6734.xml	arabic commentaries on the hippocratic aphorisms project	ar	13	1205	1205
MS_Ar_3802.xml	arabic commentaries on the hippocratic aphorisms project	ar	13	1281	1282
MS_OL_7785.66.xml	arabic commentaries on the hippocratic aphorisms project	ar	13	1200	1299
MS_árabe_790.xml	arabic commentaries on the hippocratic aphorisms project	ar	13	1209	1209
MS_árabe_791.xml	arabic commentaries on the hippocratic aphorisms project	ar	13	1208	1209
MS_árabe_818.xml	arabic commentaries on the hippocratic aphorisms project	ar	13	1209	1209
MS_1386_Dd_12.1.xml	arabic commentaries on the hippocratic aphorisms project	ar	14	1200	1399
MS_1632.xml	arabic commentaries on the hippocratic aphorisms project	ar	14	1325	1325
MS_1897.xml	arabic commentaries on the hippocratic aphorisms project	ar	14	1300	1301
MS_565_tibb.xml	arabic commentaries on the hippocratic aphorisms project	ar	14	1335	1335
MS_885.1.xml	arabic commentaries on the hippocratic aphorisms project	ar	14	1364	1365
MS_919.xml	arabic commentaries on the hippocratic aphorisms project	ar	14	1329	1330
MS_Ar_1037.xml	arabic commentaries on the hippocratic aphorisms project	ar	14	1300	1399
MS_Ar_454.xml	arabic commentaries on the hippocratic aphorisms project	ar	14	1300	1399
MS_ebr_426.xml	arabic commentaries on the hippocratic aphorisms project	ar	14	1350	1399
MS_Or_1348.xml	arabic commentaries on the hippocratic aphorisms project	ar	14	1385	1386
MS_OR_6386.xml	arabic commentaries on the hippocratic aphorisms project	ar	14	1300	1399
MS_Or_6419.xml	arabic commentaries on the hippocratic aphorisms project	ar	14	1324	1325
MS_árabe_792.xml	arabic commentaries on the hippocratic aphorisms project	ar	14	1347	1347
MS_3527.xml	arabic commentaries on the hippocratic aphorisms project	ar	15	1482	1483
MS_Arabe_2836.xml	arabic commentaries on the hippocratic aphorisms project	ar	15	1400	1499
MS_arabe_2839.xml	arabic commentaries on the hippocratic aphorisms project	ar	15	1400	1499
MS_Or_5939.xml	arabic commentaries on the hippocratic aphorisms project	ar	15	1400	1499
MS_árabe_789.xml	arabic commentaries on the hippocratic aphorisms project	ar	15	1400	1499
MS_árabe_878.xml	arabic commentaries on the hippocratic aphorisms project	ar	15	1488	1488
Mxt_1408.xml	arabic commentaries on the hippocratic aphorisms project	ar	15	1400	1499
MS_arabe_2840.xml	arabic commentaries on the hippocratic aphorisms project	ar	16	1569	1570
Arabic_MSS_suppl_87.xml	arabic commentaries on the hippocratic aphorisms project	ar	17	1691	1691
MS_119_tibb_taymur.xml	arabic commentaries on the hippocratic aphorisms project	ar	17	1699	1699
MS_6617.1.xml	arabic commentaries on the hippocratic aphorisms project	ar	17	1680	1681
Add_MS_6903.xml	arabic commentaries on the hippocratic aphorisms project	ar	18	1700	1799
MS_280.xml	arabic commentaries on the hippocratic aphorisms project	ar	18	1782	1782
MS_MUL_160_ABUA.xml	arabic commentaries on the hippocratic aphorisms project	ar	18	1715	1716
MS_37.xml	arabic commentaries on the hippocratic aphorisms project	ar	19	1834	1835
MS_Wetzstein_II_1183.xml	arabic commentaries on the hippocratic aphorisms project	ar	19	1820	1820
MS_4751_tibb.xml	arabic commentaries on the hippocratic aphorisms project	ar	20	1942	1942
MS_1072_Tibb.xml	arabic commentaries on the hippocratic aphorisms project	ar			
MS_1894.xml	arabic commentaries on the hippocratic aphorisms project	ar			
MS_1895.xml	arabic commentaries on the hippocratic aphorisms project	ar			
MS_1896.xml	arabic commentaries on the hippocratic aphorisms project	ar			
MS_1898.xml	arabic commentaries on the hippocratic aphorisms project	ar			
MS_2045.1.xml	arabic commentaries on the hippocratic aphorisms project	ar			
MS_303.xml	arabic commentaries on the hippocratic aphorisms project	ar			
MS_3763.xml	arabic commentaries on the hippocratic aphorisms project	ar			
MS_5.xml	arabic commentaries on the hippocratic aphorisms project	ar			
MS_Arab_SM_4272.xml	arabic commentaries on the hippocratic aphorisms project	ar			
MS_Ayasofya_3670.xml	arabic commentaries on the hippocratic aphorisms project	ar			
MS_R126.xml	arabic commentaries on the hippocratic aphorisms project	ar			
MS_árabe_877.xml	arabic commentaries on the hippocratic aphorisms project	ar			
Or_58.xml	arabic commentaries on the hippocratic aphorisms project	ar			
MUL_50_MAJM.xml	arabic commentaries on the hippocratic aphorisms project	ar+fa			
MS_4791.xml	arabic commentaries on the hippocratic aphorisms project	fa			
Or_8212_166.xml	british library	jpr	8	700	799
IO_Islamic_3840.xml	british library	fa	12	1129	1129
IO_Islamic_4715.xml	british library	fa	18	1786	1786
Or_11311.xml	british library	fa	12	1140	1141
Or_12857.xml	british library	fa	12	1100	1199
Or_6288.xml	british library	fa	12	1123	1124
Or_6410.xml	british library	fa	12	1107	1108
Or_6411.xml	british library	fa	12	1107	1108
Or_9447.xml	british library	fa	12	1189	1190
Or_9838.xml	british library	fa	12	1100	1199
Or_15055.xml	british library	ar	13	1300	1300
Or_15056.xml	british library	ar	13	1300	1300
Or_11923.xml	british library	fa	13	1246	1247
Or_15052.xml	british library	fa	13	1100	1299
Or_5317.xml	british library	fa	13	1295	1296
Or_5841.xml	british library	fa	13	1272	1273
Or_5863.xml	british library	fa	13	1200	1299
Or_6241.xml	british library	fa	13	1283	1284
Or_6390.xml	british library	fa	13	1215	1216
Or_6474.xml	british library	fa	13	1257	1258
Or_6475.xml	british library	fa	13	1278	1278
Or_7464.xml	british library	fa	13	1277	1278
Or_7693.xml	british library	fa	13	1295	1296
Or_7942.xml	british library	fa	13	1265	1266
Or_7964.xml	british library	fa	13	1286	1287
Or_7976.xml	british library	fa	13	1263	1264
Or_9444.xml	british library	fa	13	1200	1299
Or_8659.xml	british library	jpr	13	1100	1299
Or_13449.xml	british library	ar	14	1307	1307
Or_6573.xml	british library	ar	14	1200	1399
Or_9590.xml	british library	ar+fa	14	1300	1399
IO_Islamic_1026.xml	british library	fa	14	1300	1399
IO_Islamic_132.xml	british library	fa	14	1314	1315
IO_Islamic_3838.xml	british library	fa	14	1330	1330
Or_10879.xml	british library	fa	14	1200	1399
Or_11018.xml	british library	fa	14	1300	1399
Or_11040.xml	british library	fa	14	1200	1399
Or_11189.xml	british library	fa	14	1375	1376
Or_11215.xml	british library	fa	14	1383	1384
Or_11313.xml	british library	fa	14	1350	1351
Or_11398.xml	british library	fa	14	1393	1394
Or_11409.xml	british library	fa	14	1307	1308
Or_11410.xml	british library	fa	14	1306	1307
Or_11411.xml	british library	fa	14	1200	1399
Or_11586.xml	british library	fa	14	1300	1399
Or_13506.xml	british library	fa	14	1307	1308
Or_14090.xml	british library	fa	14	1366	1366
Or_14158.xml	british library	fa	14	1389	1389
Or_14267.xml	british library	fa	14	1200	1399
Or_14548.xml	british library	fa	14	1300	1399
Or_14893.xml	british library	fa	14	1300	1399
Or_2780.xml	british library	fa	14	1397	1397
Or_5602.xml	british library	fa	14	1318	1319
Or_6438.xml	british library	fa	14	1200	1399
Or_6464.xml	british library	fa	14	1331	1332
Or_6476.xml	british library	fa	14	1360	1361
Or_6490.xml	british library	fa	14	1200	1399
Or_6855.xml	british library	fa	14	1300	1399
Or_7324.xml	british library	fa	14	1200	1399
Or_7858.xml	british library	fa	14	1327	1328
Or_7963.xml	british library	fa	14	1370	1371
Or_8194.xml	british library	fa	14	1200	1399
Or_8307.xml	british library	fa	14	1322	1323
Or_8376.xml	british library	fa	14	1356	1357
Or_9512.xml	british library	fa	14	1343	1343
Or_9580.xml	british library	fa	14	1200	1399
Or_9602.xml	british library	fa	14	1375	1376
Or_9604.xml	british library	fa	14	1325	1326
Or_9777.xml	british library	fa	14	1344	1345
Or_7863.xml	british library	fa+ar	14	1359	1360
Or_5446.xml	british library	jpr	14	1319	1319
ADD_7316.xml	british library	ar	15	1428	1428
Or_12074.xml	british library	ar	15	1300	1499
Or_13046.xml	british library	ar	15	1400	1499
Or_9515.xml	british library	ar	15	1200	1499
Or_9730.xml	british library	ar	15	1200	1499
Add_18188.xml	british library	fa	15	1486	1486
Add_25900.xml	british library	fa	15	1442	1443
Add_27261.xml	british library	fa	15	1410	1411
Delhi_Persian_50.xml	british library	fa	15	1472	1473
Delhi_Persian_56.xml	british library	fa	15	1472	1473
IO_Islamic_4561.xml	british library	fa	15	1400	1499
IO_Islamic_4578.xml	british library	fa	15	1500	1500
IO_Islamic_4587.xml	british library	fa	15	1500	1500
IO_Islamic_4664.xml	british library	fa	15	1400	1499
IO_Islamic_4665.xml	british library	fa	15	1466	1466
Or_10894.xml	british library	fa	15	1400	1499
Or_10902.xml	british library	fa	15	1489	1490
Or_10903.xml	british library	fa	15	1471	1472
Or_10906.xml	british library	fa	15	1492	1493
Or_10911.xml	british library	fa	15	1467	1468
Or_10921.xml	british library	fa	15	1475	1476
Or_10959.xml	british library	fa	15	1473	1474
Or_10983.xml	british library	fa	15	1429	1430
Or_10984.xml	british library	fa	15	1429	1430
Or_10996.xml	british library	fa	15	1451	1452
Or_11137.xml	british library	fa	15	1459	1460
Or_11153.xml	british library	fa	15	1400	1499
Or_11230.xml	british library	fa	15	1414	1415
Or_11325.xml	british library	fa	15	1457	1458
Or_11328.xml	british library	fa	15	1471	1472
Or_11349.xml	british library	fa	15	1482	1483
Or_11363.xml	british library	fa	15	1456	1457
Or_11519.xml	british library	fa	15	1400	1499
Or_11522.xml	british library	fa	15	1400	1499
Or_11563.xml	british library	fa	15	1400	1499
Or_11599.xml	british library	fa	15	1404	1405
Or_11630.xml	british library	fa	15	1450	1451
Or_11675.xml	british library	fa	15	1489	1490
Or_11676.xml	british library	fa	15	1438	1440
Or_11686.xml	british library	fa	15	1421	1422
Or_11844.xml	british library	fa	15	1471	1472
Or_11846.xml	british library	fa	15	1459	1460
Or_11919.xml	british library	fa	15	1434	1435
Or_12003.xml	british library	fa	15	1444	1445
Or_12079.xml	british library	fa	15	1477	1478
Or_12087.xml	british library	fa	15	1420	1421
Or_12688.xml	british library	fa	15	1446	1446
Or_12856.xml	british library	fa	15	1435	1436
Or_12969.xml	british library	fa	15	1400	1499
Or_12999.xml	british library	fa	15	1400	1499
Or_13000.xml	british library	fa	15	1400	1499
Or_13163.xml	british library	fa	15	1400	1499
Or_13193.xml	british library	fa	15	1470	1480
Or_13214.xml	british library	fa	15	1400	1401
Or_13529.xml	british library	fa	15	1405	1405
Or_13761.xml	british library	fa	15	1419	1419
Or_13802.xml	british library	fa	15	1421	1421
Or_13859.xml	british library	fa	15	1400	1499
Or_13948.xml	british library	fa	15	1490	1490
Or_13949.xml	british library	fa	15	1460	1470
Or_14035.xml	british library	fa	15	1446	1446
Or_14044.xml	british library	fa	15	1400	1499
Or_14139.xml	british library	fa	15	1470	1470
Or_14170.xml	british library	fa	15	1479	1479
Or_14237.xml	british library	fa	15	1446	1446
Or_14316.xml	british library	fa	15	1400	1499
Or_14367.xml	british library	fa	15	1400	1499
Or_14465.xml	british library	fa	15	1425	1475
Or_14832.xml	british library	fa	15	1459	1459
Or_14892.xml	british library	fa	15	1488	1488
Or_14949.xml	british library	fa	15	1400	1499
Or_15179.xml	british library	fa	15	1473	1473
Or_15395.xml	british library	fa	15	1430	1430
Or_4110.xml	british library	fa	15	1400	1499
Or_5012.xml	british library	fa	15	1440	1441
Or_5096.xml	british library	fa	15	1493	1494
Or_5321.xml	british library	fa	15	1300	1499
Or_5341.xml	british library	fa	15	1400	1499
Or_5344.xml	british library	fa	15	1400	1499
Or_5411.xml	british library	fa	15	1484	1485
Or_5572.xml	british library	fa	15	1400	1499
Or_5770.xml	british library	fa	15	1487	1488
Or_5851.xml	british library	fa	15	1300	1499
Or_6427.xml	british library	fa	15	1494	1495
Or_6478.xml	british library	fa	15	1300	1499
Or_6505.xml	british library	fa	15	1400	1499
Or_6572.xml	british library	fa	15	1400	1499
Or_6634.xml	british library	fa	15	1456	1457
Or_6810.xml	british library	fa	15	1494	1495
Or_7048.xml	british library	fa	15	1491	1492
Or_7505.xml	british library	fa	15	1462	1463
Or_7534.xml	british library	fa	15	1418	1419
Or_7587.xml	british library	fa	15	1409	1410
Or_7814.xml	british library	fa	15	1400	1499
Or_7944.xml	british library	fa	15	1400	1499
Or_7986.xml	british library	fa	15	1491	1492
Or_8020.xml	british library	fa	15	1459	1460
Or_8306.xml	british library	fa	15	1400	1499
Or_8365.xml	british library	fa	15	1481	1482
Or_8445.xml	british library	fa	15	1400	1499
Or_8755.xml	british library	fa	15	1462	1463
Or_8760.xml	british library	fa	15	1483	1484
Or_9112.xml	british library	fa	15	1499	1500
Or_9347.xml	british library	fa	15	1440	1441
Or_9456.xml	british library	fa	15	1472	1473
Or_9461.xml	british library	fa	15	1400	1499
Or_9464.xml	british library	fa	15	1493	1494
Or_9465.xml	british library	fa	15	1488	1489
Or_9467.xml	british library	fa	15	1400	1499
Or_9493.xml	british library	fa	15	1487	1488
Or_9591.xml	british library	fa	15	1300	1499
Or_9601.xml	british library	fa	15	1466	1467
Or_9688.xml	british library	fa	15	1470	1471
Or_9716.xml	british library	fa	15	1400	1499
Or_9725.xml	british library	fa	15	1488	1489
Or_9846.xml	british library	fa	15	1424	1425
Or_9863.xml	british library	fa	15	1439	1440
Or_10908.xml	british library	fa+ar	15	1454	1455
Or_9567.xml	british library	fa+ar	15	1400	1499
Or_13872.xml	british library	he	15	1473	1473
Or_2451.xml	british library	he	15	1483	1483
Or_9884.xml	british library	he+jpr	15	1400	1499
Or_10482.xml	british library	jpr	15	1300	1499
Or_5557_Z.xml	british library	jpr	15	1300	1499
Or_7071.xml	british library	tur	15	1500	1500
Or_7076.xml	british library	tur	15	1500	1500
Or_7084.xml	british library	tur	15	1500	1500
Or_5963.xml	british library	ar	16	1600	1600
Or_8389.xml	british library	ar	16	1523	1524
Or_8434.xml	british library	ar	16	1523	1524
Or_9850.xml	british library	ar	16	1500	1599
Or_14339.xml	british library	ar+fa	16	1400	1599
Or_5346.xml	british library	chg	16	1520	1520
Add_7735.xml	british library	fa	16	1500	1599
Delhi_Persian_138.xml	british library	fa	16	1500	1599
Delhi_Persian_36.xml	british library	fa	16	1571	1572
Delhi_Persian_41.xml	british library	fa	16	1581	1582
Grenville_XLI.xml	british library	fa	16	1500	1599
IO_Islamic_3540.xml	british library	fa	16	1500	1599
IO_Islamic_4063.xml	british library	fa	16	1500	1600
IO_Islamic_4300.xml	british library	fa	16		1599
IO_Islamic_4619.xml	british library	fa	16	1500	1599
IO_Islamic_4660.xml	british library	fa	16	1523	1523
IO_Islamic_4678B.xml	british library	fa	16	1587	1587
IO_Islamic_4720.1.xml	british library	fa	16	1527	1527
IO_Islamic_4742.xml	british library	fa	16	1551	1551
Or_10904.xml	british library	fa	16	1577	1578
Or_10905.xml	british library	fa	16	1574	1575
Or_10909.xml	british library	fa	16	1500	1599
Or_10910.xml	british library	fa	16	1500	1599
Or_10915.xml	british library	fa	16	1511	1512
Or_10918.xml	british library	fa	16	1513	1514
Or_10946.xml	british library	fa	16	1546	1547
Or_11012.xml	british library	fa	16	1500	1599
Or_11151.xml	british library	fa	16	1579	1580
Or_11152.xml	british library	fa	16	1565	1567
Or_11216.xml	british library	fa	16	1538	1539
Or_11249.xml	british library	fa	16	1510	1511
Or_11283.xml	british library	fa	16	1500	1599
Or_11327.xml	british library	fa	16	1582	1583
Or_11329.xml	british library	fa	16	1580	1581
Or_11330.xml	british library	fa	16	1500	1599
Or_11331.xml	british library	fa	16	1500	1599
Or_11520.xml	british library	fa	16	1582	1583
Or_11523.xml	british library	fa	16	1543	1544
Or_11524.xml	british library	fa	16	1586	1587
Or_11609.xml	british library	fa	16	1500	1525
Or_11627.xml	british library	fa	16	1574	1575
Or_11680.xml	british library	fa	16	1524	1525
Or_11837.xml	british library	fa	16	1500	1599
Or_11840.xml	british library	fa	16	1573	1574
Or_11847.xml	british library	fa	16	1513	1514
Or_11920.xml	british library	fa	16	1575	1576
Or_11952.xml	british library	fa	16	1576	1577
Or_11960.xml	british library	fa	16	1554	1555
Or_11963.xml	british library	fa	16	1571	1572
Or_11986.xml	british library	fa	16	1500	1599
Or_12076.xml	british library	fa	16	1598	1598
Or_12084.xml	british library	fa	16	1564	1565
Or_12104.xml	british library	fa	16	1579	1580
Or_12123.xml	british library	fa	16	1544	1545
Or_12208.xml	british library	fa	16	1595	1596
Or_12220.xml	british library	fa	16	1503	1504
Or_12614.xml	british library	fa	16	1529	1529
Or_12864.xml	british library	fa	16	1581	1582
Or_12865.xml	british library	fa	16	1500	1599
Or_12984.xml	british library	fa	16	1500	1550
Or_12985.xml	british library	fa	16	1573	1574
Or_13021.xml	british library	fa	16	1500	1599
Or_13089.xml	british library	fa	16	1506	1507
Or_13176.xml	british library	fa	16	1500	1599
Or_13531.xml	british library	fa	16	1500	1599
Or_13663.xml	british library	fa	16	1587	1587
Or_13718.xml	british library	fa	16	1509	1509
Or_13759.xml	british library	fa	16	1588	1588
Or_13836.xml	british library	fa	16	1502	1531
Or_13838.xml	british library	fa	16	1598	1598
Or_14102.xml	british library	fa	16	1520	1521
Or_14159.xml	british library	fa	16	1507	1507
Or_14244.xml	british library	fa	16	1500	1599
Or_14340.xml	british library	fa	16	1400	1599
Or_14403.xml	british library	fa	16	1600	1600
Or_14520.xml	british library	fa	16	1591	1591
Or_14633.xml	british library	fa	16	1518	1518
Or_14654.xml	british library	fa	16	1553	1554
Or_14689.xml	british library	fa	16	1599	1599
Or_14745.xml	british library	fa	16	1564	1564
Or_14982.1.xml	british library	fa	16	1574	1574
Or_14982.2.xml	british library	fa	16	1580	1580
Or_14982.8.xml	british library	fa	16	1567	1567
Or_14982.9.xml	british library	fa	16	1560	1560
Or_15060.xml	british library	fa	16	1600	1600
Or_15597.xml	british library	fa	16	1582	1582
Or_2265.xml	british library	fa	16	1539	1543
Or_3653.xml	british library	fa	16	1541	1541
Or_4615.xml	british library	fa	16	1550	1599
Or_5081.xml	british library	fa	16	1500	1599
Or_5094.xml	british library	fa	16	1500	1599
Or_5095.xml	british library	fa	16	1547	1548
Or_5100.xml	british library	fa	16	1500	1599
Or_5302.xml	british library	fa	16	1567	1568
Or_5343.xml	british library	fa	16	1500	1599
Or_5601.xml	british library	fa	16	1574	1575
Or_5610.xml	british library	fa	16	1500	1599
Or_5686.xml	british library	fa	16	1580	1581
Or_5736.xml	british library	fa	16	1599	1600
Or_5847.xml	british library	fa	16	1500	1599
Or_5871.xml	british library	fa	16	1579	1580
Or_5878.xml	british library	fa	16	1500	1599
Or_5880.xml	british library	fa	16	1500	1599
Or_5950.xml	british library	fa	16	1520	1521
Or_5959.xml	british library	fa	16	1579	1580
Or_5966.xml	british library	fa	16	1569	1570
Or_6244.xml	british library	fa	16	1572	1573
Or_6290.xml	british library	fa	16	1566	1567
Or_6311.xml	british library	fa	16	1500	1599
Or_6376.xml	british library	fa	16	1400	1599
Or_6380.xml	british library	fa	16	1590	1596
Or_6432.xml	british library	fa	16	1507	1508
Or_6534.xml	british library	fa	16	1400	1599
Or_6708.xml	british library	fa	16	1546	1547
Or_6836.xml	british library	fa	16	1569	1570
Or_6944.xml	british library	fa	16	1565	1566
Or_6950.xml	british library	fa	16	1538	1539
Or_6966.xml	british library	fa	16	1500	1599
Or_7038.xml	british library	fa	16	1565	1566
Or_7040.xml	british library	fa	16	1595	1596
Or_7042.xml	british library	fa	16	1500	1599
Or_7045.xml	british library	fa	16	1585	1586
Or_7049.xml	british library	fa	16	1567	1568
Or_7242.xml	british library	fa	16	1600	1600
Or_7345.xml	british library	fa	16	1551	1551
Or_7370.xml	british library	fa	16	1558	1559
Or_7483.xml	british library	fa	16	1500	1599
Or_7509.xml	british library	fa	16	1556	1557
Or_7552.xml	british library	fa	16	1516	1517
Or_7580.xml	british library	fa	16	1600	1600
Or_7585.xml	british library	fa	16	1598	1599
Or_7600.xml	british library	fa	16	1500	1599
Or_7721.xml	british library	fa	16	1579	1580
Or_7765.xml	british library	fa	16	1564	1565
Or_7815.xml	british library	fa	16	1571	1572
Or_7862.xml	british library	fa	16	1590	1591
Or_7909.xml	british library	fa	16	1500	1599
Or_7932.xml	british library	fa	16	1546	1547
Or_7974.xml	british library	fa	16	1500	1599
Or_8019.xml	british library	fa	16	1582	1583
Or_8064.xml	british library	fa	16	1500	1599
Or_8200.xml	british library	fa	16	1557	1558
Or_8201.xml	british library	fa	16	1562	1563
Or_8359.xml	british library	fa	16	1565	1566
Or_8374.xml	british library	fa	16	1506	1507
Or_8754.xml	british library	fa	16	1558	1559
Or_8757.xml	british library	fa	16	1578	1579
Or_8999.xml	british library	fa	16	1400	1599
Or_9037.xml	british library	fa	16	1530	1531
Or_9121.xml	british library	fa	16	1565	1566
Or_9316.xml	british library	fa	16	1500	1599
Or_9317.xml	british library	fa	16	1500	1599
Or_9332.xml	british library	fa	16	1500	1599
Or_9346.xml	british library	fa	16	1574	1575
Or_9458.xml	british library	fa	16	1500	1599
Or_9459.xml	british library	fa	16	1517	1518
Or_9460.xml	british library	fa	16	1553	1554
Or_9490.xml	british library	fa	16	1552	1553
Or_9495.xml	british library	fa	16	1503	1504
Or_9605.xml	british library	fa	16	1507	1508
Or_9826.xml	british library	fa	16	1586	1587
Or_9869.xml	british library	fa	16	1552	1553
Or_9872.xml	british library	fa	16	1550	1599
Uk_Delhi_Persian_96.xml	british library	fa	16	1550	1599
Or_14257.xml	british library	fa+ar	16	1512	1512
Or_8680.xml	british library	fa+ar	16	1500	1599
Or_9871.xml	british library	fa+ar	16	1559	1560
Or_10043.xml	british library	he	16	1550	1550
Or_9953.xml	british library	he	16	1400	1599
Or_10007.xml	british library	he+jpr	16	1547	1547
Or_10193.xml	british library	jpr	16	1400	1599
Or_2453.xml	british library	jpr	16	1500	1599
Or_2456.xml	british library	jpr	16	1500	1599
Or_2459.xml	british library	jpr	16	1500	1599
Or_2460.xml	british library	jpr	16	1500	1599
Or_12172.xml	british library	tur	16	1500	1599
Or_7069.xml	british library	tur	16	1600	1600
Or_7154.xml	british library	tur	16	1579	1580
Or_7162.xml	british library	tur	16	1600	1600
Or_7172.xml	british library	tur	16	1600	1600
Or_7263.xml	british library	tur	16	1600	1600
Or_13045.xml	british library	tur+fa+ar	16	1530	1530
Or_14385.xml	british library	ar	17	1694	1695
Or_15054.xml	british library	ar	17	1700	1700
Or_15172.xml	british library	ar	17	1700	1700
Or_6264.xml	british library	ar	17	1600	1699
Or_7819.xml	british library	ar	17	1668	1669
Add_18579.xml	british library	fa	17	1610	1611
Add_6613.xml	british library	fa	17	1665	1666
Add_7801.xml	british library	fa	17	1697	1698
Delhi_Persian_11.xml	british library	fa	17	1600	1699
Delhi_Persian_1169.xml	british library	fa	17	1625	1675
Delhi_Persian_1182.xml	british library	fa	17	1600	1699
Delhi_Persian_1183.xml	british library	fa	17	1684	1684
Delhi_Persian_12.xml	british library	fa	17	1600	1699
Delhi_Persian_133.xml	british library	fa	17	1699	1700
Delhi_Persian_14.xml	british library	fa	17	1667	1667
Delhi_Persian_1420.xml	british library	fa	17	1625	1675
Delhi_Persian_3B.xml	british library	fa	17	1600	1699
Delhi_Persian_44.xml	british library	fa	17	1678	1679
Delhi_Persian_47.xml	british library	fa	17	1658	
Delhi_Persian_52-star.xml	british library	fa	17	1670	1671
Delhi_Persian_54-star.xml	british library	fa	17	1684	1684
Delhi_Persian_60.xml	british library	fa	17	1600	1699
Delhi_Persian_639.xml	british library	fa	17	1600	1699
Delhi_Persian_8.xml	british library	fa	17	1629	1629
Delhi_Persian_84A.xml	british library	fa	17	1600	1699
Delhi_Persian_91-star.xml	british library	fa	17	1600	1699
Delhi_Persian_91A.xml	british library	fa	17	1600	1699
Delhi_Persian_982.xml	british library	fa	17	1669	1669
IO_Islamic_4298.xml	british library	fa	17	1600	1699
IO_Islamic_4568.xml	british library	fa	17	1600	1650
IO_Islamic_4594.xml	british library	fa	17	1600	1699
IO_Islamic_4614.xml	british library	fa	17	1651	1651
IO_Islamic_4615.xml	british library	fa	17	1665	1665
IO_Islamic_4617.xml	british library	fa	17	1600	1699
IO_Islamic_4621.xml	british library	fa	17	1644	1644
IO_Islamic_4622.xml	british library	fa	17	1600	1699
IO_Islamic_4623.xml	british library	fa	17	1600	1699
IO_Islamic_4625.xml	british library	fa	17	1644	1644
IO_Islamic_4626.xml	british library	fa	17	1675	1675
IO_Islamic_4627.xml	british library	fa	17	1644	1644
IO_Islamic_4661.xml	british library	fa	17	1605	1605
IO_Islamic_4678A.xml	british library	fa	17	1652	1652
IO_Islamic_4679.xml	british library	fa	17	1696	1696
IO_Islamic_4680.xml	british library	fa	17	1634	1634
IO_Islamic_4712.xml	british library	fa	17		1670
IO_Islamic_4714.xml	british library	fa	17	1698	1698
IO_Islamic_4720.10.xml	british library	fa	17	1672	1672
IO_Islamic_4720.11.xml	british library	fa	17	1680	1680
IO_Islamic_4720.12.xml	british library	fa	17	1681	1681
IO_Islamic_4720.13.xml	british library	fa	17	1682	1682
IO_Islamic_4720.14.xml	british library	fa	17	1682	1682
IO_Islamic_4720.15.xml	british library	fa	17	1688	1688
IO_Islamic_4720.16.xml	british library	fa	17	1690	1690
IO_Islamic_4720.17.xml	british library	fa	17	1693	1693
IO_Islamic_4720.18.xml	british library	fa	17	1694	1694
IO_Islamic_4720.19.xml	british library	fa	17	1696	1696
IO_Islamic_4720.2.xml	british library	fa	17	1613	1613
IO_Islamic_4720.20.xml	british library	fa	17	1696	1696
IO_Islamic_4720.21.xml	british library	fa	17	1700	1700
IO_Islamic_4720.3.xml	british library	fa	17	1613	1613
IO_Islamic_4720.4.xml	british library	fa	17	1615	1615
IO_Islamic_4720.5.xml	british library	fa	17	1618	1618
IO_Islamic_4720.6.xml	british library	fa	17	1641	1641
IO_Islamic_4720.7.xml	british library	fa	17	1643	1643
IO_Islamic_4720.8.xml	british library	fa	17	1649	1649
IO_Islamic_4720.9.xml	british library	fa	17	1659	1659
IO_Islamic_4722.xml	british library	fa	17	1684	1684
IO_Islamic_4758.xml	british library	fa	17	1672	1675
IO_Islamic_4792.xml	british library	fa	17	1637	1637
IO_Islamic_4793.xml	british library	fa	17	1634	1634
IO_Islamic_4795.xml	british library	fa	17	1697	1697
IO_Islamic_4799.xml	british library	fa	17	1669	1669
IO_Islamic_4803.xml	british library	fa	17	1689	1689
IO_Islamic_4803.xml	british library	fa	17	1688	1688
IO_Islamic_4803.xml	british library	fa	17	1688	1688
Or_10893.xml	british library	fa	17	1600	1699
Or_10912.xml	british library	fa	17	1600	1699
Or_10914.xml	british library	fa	17	1600	1699
Or_10916.xml	british library	fa	17	1500	1699
Or_10917.xml	british library	fa	17	1658	1659
Or_10920.xml	british library	fa	17	1600	1699
Or_10922.xml	british library	fa	17	1600	1699
Or_10924.xml	british library	fa	17	1600	1699
Or_10925.xml	british library	fa	17	1500	1699
Or_10928.xml	british library	fa	17	1600	1699
